time,position
4.509018036072144908e-07,-7.897957781589413462e-05
4.609218436873747963e-07,-7.891351964761196341e-05
4.709418837675351548e-07,-7.884482994810849477e-05
4.809619238476955133e-07,-7.877347062767117876e-05
4.909819639278558188e-07,-7.869940435059338618e-05
5.010020040080161244e-07,-7.862259453145097369e-05
5.110220440881764299e-07,-7.854300533137875413e-05
5.210420841683367355e-07,-7.846060165434710226e-05
5.310621242484970410e-07,-7.837534914343834375e-05
5.410821643286573466e-07,-7.828721417712337450e-05
5.511022044088177580e-07,-7.819616386553811737e-05
5.611222444889780636e-07,-7.810216604676006023e-05
5.711422845691383691e-07,-7.800518928308475329e-05
5.811623246492986747e-07,-7.790520285730232006e-05
5.911823647294589802e-07,-7.780217676897400894e-05
6.012024048096192857e-07,-7.769608173070863635e-05
6.112224448897796972e-07,-7.758688916443920610e-05
6.212424849699400027e-07,-7.747457119769929834e-05
6.312625250501003083e-07,-7.735910065989968891e-05
6.412825651302606138e-07,-7.724045107860479250e-05
6.513026052104209194e-07,-7.711859667580922778e-05
6.613226452905812249e-07,-7.699351236421427414e-05
6.713426853707415305e-07,-7.686517374350445035e-05
6.813627254509019419e-07,-7.673355709662399839e-05
6.913827655310622474e-07,-7.659863938605336727e-05
7.014028056112225530e-07,-7.646039825008577821e-05
7.114228456913828585e-07,-7.631881199910369481e-05
7.214428857715431641e-07,-7.617385961185538831e-05
7.314629258517034696e-07,-7.602552073173138064e-05
7.414829659318638810e-07,-7.587377566304103675e-05
7.515030060120241866e-07,-7.571860536728900772e-05
7.615230460921844921e-07,-7.555999145945179591e-05
7.715430861723447977e-07,-7.539791620425425234e-05
7.815631262525051032e-07,-7.523236251244606052e-05
7.915831663326654088e-07,-7.506331393707831512e-05
8.016032064128257143e-07,-7.489075466977996513e-05
8.116232464929861258e-07,-7.471466953703436548e-05
8.216432865731464313e-07,-7.453504399645580149e-05
8.316633266533067369e-07,-7.435186413306598622e-05
8.416833667334670424e-07,-7.416511665557054436e-05
8.517034068136273479e-07,-7.397478889263559086e-05
8.617234468937876535e-07,-7.378086878916420121e-05
8.717434869739480649e-07,-7.358334490257290885e-05
8.817635270541083705e-07,-7.338220639906828380e-05
8.917835671342686760e-07,-7.317744304992338943e-05
9.018036072144289816e-07,-7.296904522775430691e-05
9.118236472945892871e-07,-7.275700390279665969e-05
9.218436873747495927e-07,-7.254131063918212445e-05
9.318637274549100041e-07,-7.232195759121495555e-05
9.418837675350703096e-07,-7.209893749964845530e-05
9.519038076152306152e-07,-7.187224368796155268e-05
9.619238476953910266e-07,-7.164187005863527358e-05
9.719438877755512263e-07,-7.140781108942926528e-05
9.819639278557116377e-07,-7.117006182965829385e-05
9.919839679358718374e-07,-7.092861789646880924e-05
1.002004008016032249e-06,-7.068347547111537496e-05
1.012024048096192448e-06,-7.043463129523727380e-05
1.022044088176352860e-06,-7.018208266713496458e-05
1.032064128256513271e-06,-6.992582743804659311e-05
1.042084168336673471e-06,-6.966586400842455726e-05
1.052104208416833882e-06,-6.940219132421195016e-05
1.062124248496994082e-06,-6.913480887311913891e-05
1.072144288577154494e-06,-6.886371668090020769e-05
1.082164328657314693e-06,-6.858891530762957717e-05
1.092184368737475105e-06,-6.831040584397840695e-05
1.102204408817635516e-06,-6.802818990749117431e-05
1.112224448897795716e-06,-6.774226963886214442e-05
1.122244488977956127e-06,-6.745264769821196266e-05
1.132264529058116327e-06,-6.715932726136405702e-05
1.142284569138276738e-06,-6.686231201612124401e-05
1.152304609218436938e-06,-6.656160615854222595e-05
1.162324649298597349e-06,-6.625721438921803414e-05
1.172344689378757761e-06,-6.594914190954863473e-05
1.182364729458917960e-06,-6.563739441801941243e-05
1.192384769539078372e-06,-6.532197810647765444e-05
1.202404809619238571e-06,-6.500289965640910193e-05
1.212424849699398983e-06,-6.468016623521442041e-05
1.222444889779559394e-06,-6.435378549248576478e-05
1.232464929859719594e-06,-6.402376555628326322e-05
1.242484969939880005e-06,-6.369011502941152806e-05
1.252505010020040205e-06,-6.335284298569620741e-05
1.262525050100200617e-06,-6.301195896626045540e-05
1.272545090180360816e-06,-6.266747297580142957e-05
1.282565130260521228e-06,-6.231939547886688308e-05
1.292585170340681639e-06,-6.196773739613158083e-05
1.302605210420841839e-06,-6.161251010067394585e-05
1.312625250501002250e-06,-6.125372541425236697e-05
1.322645290581162450e-06,-6.089139560358196725e-05
1.332665330661322861e-06,-6.052553337661089125e-05
1.342685370741483061e-06,-6.015615187879696509e-05
1.352705410821643472e-06,-5.978326468938413959e-05
1.362725450901803884e-06,-5.940688581767900793e-05
1.372745490981964083e-06,-5.902702969932740475e-05
1.382765531062124495e-06,-5.864371119259075438e-05
1.392785571142284695e-06,-5.825694557462275799e-05
1.402805611222445106e-06,-5.786674853774578927e-05
1.412825651302605517e-06,-5.747313618572744609e-05
1.422845691382765717e-06,-5.707612503005710878e-05
1.432865731462926128e-06,-5.667573198622237658e-05
1.442885771543086328e-06,-5.627197436998560562e-05
1.452905811623246740e-06,-5.586486989366048767e-05
1.462925851703406939e-06,-5.545443666238845937e-05
1.472945891783567351e-06,-5.504069317041529447e-05
1.482965931863727762e-06,-5.462365829736758093e-05
1.492985971943887962e-06,-5.420335130452923856e-05
1.503006012024048373e-06,-5.377979183111806388e-05
1.513026052104208573e-06,-5.335299989056218001e-05
1.523046092184368984e-06,-5.292299586677660862e-05
1.533066132264529184e-06,-5.248980051043981474e-05
1.543086172344689595e-06,-5.205343493527003469e-05
1.553106212424850007e-06,-5.161392061430207165e-05
1.563126252505010206e-06,-5.117127937616359649e-05
1.573146292585170618e-06,-5.072553340135171294e-05
1.583166332665330818e-06,-5.027670521850953624e-05
1.593186372745491229e-06,-4.982481770070257537e-05
1.603206412825651429e-06,-4.936989406169545397e-05
1.613226452905811840e-06,-4.891195785222815707e-05
1.623246492985972252e-06,-4.845103295629277912e-05
1.633266533066132451e-06,-4.798714358740994009e-05
1.643286573146292863e-06,-4.752031428490524216e-05
1.653306613226453062e-06,-4.705056991018594331e-05
1.663326653306613474e-06,-4.657793564301728525e-05
1.673346693386773885e-06,-4.610243697779910601e-05
1.683366733466934085e-06,-4.562409971984242540e-05
1.693386773547094496e-06,-4.514294998164574590e-05
1.703406813627254696e-06,-4.465901417917184134e-05
1.713426853707415107e-06,-4.417231902812398332e-05
1.723446893787575307e-06,-4.368289154022270956e-05
1.733466933867735718e-06,-4.319075901948216546e-05
