time,position
1.843687374749499185e-06,-7.891351964761196341e-05
1.883767535070140619e-06,-7.884482994810849477e-05
1.923847695390782053e-06,-7.877347062767117876e-05
1.963927855711423275e-06,-7.869940435059338618e-05
2.004008016032064498e-06,-7.862259453145097369e-05
2.044088176352705720e-06,-7.854300533137875413e-05
2.084168336673346942e-06,-7.846060165434710226e-05
2.124248496993988164e-06,-7.837534914343834375e-05
2.164328657314629386e-06,-7.828721417712337450e-05
2.204408817635271032e-06,-7.819616386553811737e-05
2.244488977955912254e-06,-7.810216604676006023e-05
2.284569138276553476e-06,-7.800518928308475329e-05
2.324649298597194699e-06,-7.790520285730232006e-05
2.364729458917835921e-06,-7.780217676897400894e-05
2.404809619238477143e-06,-7.769608173070863635e-05
2.444889779559118789e-06,-7.758688916443920610e-05
2.484969939879760011e-06,-7.747457119769929834e-05
2.525050100200401233e-06,-7.735910065989968891e-05
2.565130260521042455e-06,-7.724045107860479250e-05
2.605210420841683677e-06,-7.711859667580922778e-05
2.645290581162324900e-06,-7.699351236421427414e-05
2.685370741482966122e-06,-7.686517374350445035e-05
2.725450901803607768e-06,-7.673355709662399839e-05
2.765531062124248990e-06,-7.659863938605336727e-05
2.805611222444890212e-06,-7.646039825008577821e-05
2.845691382765531434e-06,-7.631881199910369481e-05
2.885771543086172656e-06,-7.617385961185538831e-05
2.925851703406813878e-06,-7.602552073173138064e-05
2.965931863727455524e-06,-7.587377566304103675e-05
3.006012024048096746e-06,-7.571860536728900772e-05
3.046092184368737969e-06,-7.555999145945179591e-05
3.086172344689379191e-06,-7.539791620425425234e-05
3.126252505010020413e-06,-7.523236251244606052e-05
3.166332665330661635e-06,-7.506331393707831512e-05
3.206412825651302857e-06,-7.489075466977996513e-05
3.246492985971944503e-06,-7.471466953703436548e-05
3.286573146292585725e-06,-7.453504399645580149e-05
3.326653306613226947e-06,-7.435186413306598622e-05
3.366733466933868170e-06,-7.416511665557054436e-05
3.406813627254509392e-06,-7.397478889263559086e-05
3.446893787575150614e-06,-7.378086878916420121e-05
3.486973947895792260e-06,-7.358334490257290885e-05
3.527054108216433482e-06,-7.338220639906828380e-05
3.567134268537074704e-06,-7.317744304992338943e-05
3.607214428857715926e-06,-7.296904522775430691e-05
3.647294589178357148e-06,-7.275700390279665969e-05
3.687374749498998371e-06,-7.254131063918212445e-05
3.727454909819640016e-06,-7.232195759121495555e-05
3.767535070140281239e-06,-7.209893749964845530e-05
3.807615230460922461e-06,-7.187224368796155268e-05
3.847695390781564106e-06,-7.164187005863527358e-05
3.887775551102204905e-06,-7.140781108942926528e-05
3.927855711422846551e-06,-7.117006182965829385e-05
3.967935871743487349e-06,-7.092861789646880924e-05
4.008016032064128995e-06,-7.068347547111537496e-05
4.048096192384769794e-06,-7.043463129523727380e-05
4.088176352705411440e-06,-7.018208266713496458e-05
4.128256513026053085e-06,-6.992582743804659311e-05
4.168336673346693884e-06,-6.966586400842455726e-05
4.208416833667335530e-06,-6.940219132421195016e-05
4.248496993987976328e-06,-6.913480887311913891e-05
4.288577154308617974e-06,-6.886371668090020769e-05
4.328657314629258773e-06,-6.858891530762957717e-05
4.368737474949900418e-06,-6.831040584397840695e-05
4.408817635270542064e-06,-6.802818990749117431e-05
4.448897795591182863e-06,-6.774226963886214442e-05
4.488977955911824508e-06,-6.745264769821196266e-05
4.529058116232465307e-06,-6.715932726136405702e-05
4.569138276553106953e-06,-6.686231201612124401e-05
4.609218436873747752e-06,-6.656160615854222595e-05
4.649298597194389397e-06,-6.625721438921803414e-05
4.689378757515031043e-06,-6.594914190954863473e-05
4.729458917835671842e-06,-6.563739441801941243e-05
4.769539078156313487e-06,-6.532197810647765444e-05
4.809619238476954286e-06,-6.500289965640910193e-05
4.849699398797595932e-06,-6.468016623521442041e-05
4.889779559118237577e-06,-6.435378549248576478e-05
4.929859719438878376e-06,-6.402376555628326322e-05
4.969939879759520022e-06,-6.369011502941152806e-05
5.010020040080160820e-06,-6.335284298569620741e-05
5.050100200400802466e-06,-6.301195896626045540e-05
5.090180360721443265e-06,-6.266747297580142957e-05
5.130260521042084911e-06,-6.231939547886688308e-05
5.170340681362726556e-06,-6.196773739613158083e-05
5.210420841683367355e-06,-6.161251010067394585e-05
5.250501002004009001e-06,-6.125372541425236697e-05
5.290581162324649799e-06,-6.089139560358196725e-05
5.330661322645291445e-06,-6.052553337661089125e-05
5.370741482965932244e-06,-6.015615187879696509e-05
5.410821643286573889e-06,-5.978326468938413959e-05
5.450901803607215535e-06,-5.940688581767900793e-05
5.490981963927856334e-06,-5.902702969932740475e-05
5.531062124248497979e-06,-5.864371119259075438e-05
5.571142284569138778e-06,-5.825694557462275799e-05
5.611222444889780424e-06,-5.786674853774578927e-05
5.651302605210422070e-06,-5.747313618572744609e-05
5.691382765531062868e-06,-5.707612503005710878e-05
5.731462925851704514e-06,-5.667573198622237658e-05
5.771543086172345313e-06,-5.627197436998560562e-05
5.811623246492986958e-06,-5.586486989366048767e-05
5.851703406813627757e-06,-5.545443666238845937e-05
5.891783567134269403e-06,-5.504069317041529447e-05
5.931863727454911048e-06,-5.462365829736758093e-05
5.971943887775551847e-06,-5.420335130452923856e-05
6.012024048096193493e-06,-5.377979183111806388e-05
6.052104208416834291e-06,-5.335299989056218001e-05
6.092184368737475937e-06,-5.292299586677660862e-05
6.132264529058116736e-06,-5.248980051043981474e-05
6.172344689378758382e-06,-5.205343493527003469e-05
6.212424849699400027e-06,-5.161392061430207165e-05
6.252505010020040826e-06,-5.117127937616359649e-05
6.292585170340682472e-06,-5.072553340135171294e-05
6.332665330661323270e-06,-5.027670521850953624e-05
6.372745490981964916e-06,-4.982481770070257537e-05
6.412825651302605715e-06,-4.936989406169545397e-05
6.452905811623247360e-06,-4.891195785222815707e-05
6.492985971943889006e-06,-4.845103295629277912e-05
6.533066132264529805e-06,-4.798714358740994009e-05
6.573146292585171450e-06,-4.752031428490524216e-05
6.613226452905812249e-06,-4.705056991018594331e-05
6.653306613226453895e-06,-4.657793564301728525e-05
6.693386773547095541e-06,-4.610243697779910601e-05
6.733466933867736339e-06,-4.562409971984242540e-05
6.773547094188377985e-06,-4.514294998164574590e-05
6.813627254509018784e-06,-4.465901417917184134e-05
6.853707414829660429e-06,-4.417231902812398332e-05
6.893787575150301228e-06,-4.368289154022270956e-05
6.933867735470942874e-06,-4.319075901948216546e-05
6.973947895791584519e-06,-4.269594905848669630e-05
7.014028056112225318e-06,-4.219848953466736501e-05
7.054108216432866964e-06,-4.169840860657839527e-05
7.094188376753507762e-06,-4.119573471017377734e-05
7.134268537074149408e-06,-4.069049655508370441e-05
7.174348697394790207e-06,-4.018272312089114459e-05
7.214428857715431852e-06,-3.967244365340835173e-05
7.254509018036073498e-06,-3.915968766095330190e-05
7.294589178356714297e-06,-3.864448491062629236e-05
7.334669338677355943e-06,-3.812686542458646605e-05
7.374749498997996741e-06,-3.760685947632820731e-05
7.414829659318638387e-06,-3.708449758695776805e-05
7.454909819639280033e-06,-3.655981052146979214e-05
7.494989979959920831e-06,-3.603282928502369768e-05
7.535070140280562477e-06,-3.550358511922035727e-05
7.575150300601203276e-06,-3.497210949837852088e-05
